StarID,Name
300,Josh Charles
301,Anne Heche
302,John Goodman
303,David Caruso
304,Kelsey Grammer
305,Lauren Holly
306,Rob Schneider
307,Vivian Paxton
308,Claudette Sutherland
309,Michael Ornstein
310,Robert Redford
311,Stockard Channing
312,Nathan Lane
313,Jack Mulcahy
314,Michael McGlone
315,Edward Burns
316,Will Smith
317,Martin Lawrence
318,Lisa Boyle
319,Stephen Lang
320,Ryan Slater
321,Yi Ding
322,Leonardo DiCaprio
323,Lorraine Bracco
324,Marilyn Sokol
325,Hugh Grant
326,Alan Rickman
327,Georgina Cates
328,Isabelle Huppert
329,Martin Donovan
330,Elina Löwensohn
331,Bill Paxton
332,Jessica Lange
333,John Hurt
334,Lili Taylor
335,Annabella Sciorra
336,Tommy Lee Jones
337,Catherine Deneuve
338,Jean Sorel
339,Michel Piccoli
340,U Aung Ko
341,Frances McDormand
342,Lou Reed
343,Michael J. Fox
344,John Candy
345,Alan Alda
346,Rhea Perlman
347,Cathy Moriarty
348,John Turturro
349,Delroy Lindo
350,Laura Linney
351,Dylan Walsh
352,Denzel Washington
353,Matt Craven
354,Salma Hayek
355,Joaquim de Almeida
356,Tom Sizemore
357,Jennifer Beals
358,Jeremy Irons
359,Samuel L. Jackson
360,James Duval
361,Rose McGowan
362,Johnathon Schaech
363,Sean Connery
364,Richard Gere
365,Michael Madsen
366,Francis Capra
367,Jonny Lee Miller
368,Angelina Jolie
369,Jesse Bradford
370,Steven Weber
371,Michael T. Weiss
372,Peter Jacobson
373,Keanu Reeves
374,Dolph Lundgren
375,Dina Meyer
376,Armand Assante
377,Tia Carrere
378,Stanley Tucci
379,Leo Fitzpatrick
380,Justin Pierce
381,Chloë Sevigny
382,Steve Buscemi
383,Catherine Keener
384,Scott Bakula
385,Kevin J. O'Connor
386,J. Trevor Edmond
387,Thomas Gibson
388,Ruth Marshall
389,Cameron Bancroft
390,Chris O'Donnell
391,Drew Barrymore
392,Matthew Lillard
393,Shannen Doherty
394,Jeremy London
395,Jason Lee
396,Karan Ashley
397,Johnny Yong Bosch
398,Steve Cardenas
399,Marina Zudina
400,Fay Ripley
401,Evan Richards
402,Peter Fonda
403,Nic Ratner
404,Jeremy Northam
405,Dennis Miller
406,Parker Posey
407,Omar Townsend
408,The Lady Bunny
409,Elias Koteas
410,Virginia Madsen
411,Mia Farrow
412,Tony Goldwyn
413,Juana Barrios
414,Xander Berkeley
415,Dean Norris
416,Gary Oldman
417,Robert Duvall
418,Elizabeth Berkley
419,Kyle MacLachlan
420,Gina Gershon
421,William Hurt
422,Giancarlo Esposito
423,Dennis Quaid
424,Natasha Henstridge
425,Ben Kingsley
426,Ralph Fiennes
427,Nino Castelnuovo
428,Anne Vernon
429,Patrick Swayze
430,Mary Elizabeth Mastrantonio
431,Joseph Mazzello
432,Romane Bohringer
433,John Leguizamo
434,Steven Seagal
435,Eric Bogosian
436,Everett McGill
437,Andie MacDowell
438,Michael Richards
439,Aitana Sánchez-Gijón
440,Anthony Quinn
441,Kevin Costner
442,Jeanne Tripplehorn
443,Dennis Hopper
444,Harry Belafonte
445,Kelly Lynch
446,Ellen Barkin
447,Albert Finney
448,Greta Scacchi
449,Daniel Stern
450,Jon Polito
451,Brad Sullivan
452,Nikita Mikhalkov
453,Ingeborga Dapkunaite
454,Oleg Menshikov
455,Katrin Cartlidge
456,Rade Serbedzija
457,Grégoire Colin
458,Ethan Hawke
459,Julie Delpy
460,Andrea Eckert
461,Darren McGavin
462,Bridgette Wilson-Sampras
463,J.T. Walsh
464,Whoopi Goldberg
465,Mary-Louise Parker
466,Aeryk Egan
467,Jeffrey Combs
468,Barbara Crampton
469,Jonathan Fuller
470,Minnie Driver
471,Geraldine O'Rawe
472,Brian O'Halloran
473,Jeff Anderson
474,Marilyn Ghigliotti
475,Marlon Brando
476,Donald Sutherland
477,Gary Busey
478,Yancy Butler
479,Dylan McDermott
480,Nancy Travis
481,Quentin Tarantino
482,Stuart Wilson
483,Kathy Bates
484,Christopher Plummer
485,Jeff Daniels
486,Sihung Lung
487,Kuei-Mei Yang
488,Yu-Wen Wang
489,Bruce Greenwood
490,Don McKellar
491,Dana Delany
492,Dan Aykroyd
493,Martin Landau
494,Meg Ryan
495,Kevin Kline
496,Billy Crystal
497,Debra Winger
498,Joe Mantegna
499,Mimi Rogers
500,Bruce Davison
501,Bill Farmer
502,Jason Marsden
503,Jim Cummings
504,Jeff Goldblum
505,Christine Lahti
506,Stefano Dionisi
507,Elsa Zylberstein
508,Kristy Young
509,Doug Stone
510,James Donadio
511,William Gates
512,Arthur Agee
